"Gene_name"	"GO_terms"
"pafah2"	"GO:0016042, GO:0003847, GO:0016787, GO:0006629"
"selenbp1"	"GO:0008430, GO:0008430"
"commd7"	""
"cmip"	""
"kcnj9"	"GO:0016020, GO:0015467, GO:0006813, GO:0005242, GO:0016021, GO:0006811, GO:0005244, GO:0034765, GO:1990573, GO:0006813, GO:0005242, GO:0016021, GO:0016020, GO:0006811, GO:0005244, GO:0034765, GO:1990573"
"gan"	"GO:0007010, GO:0005515"
"pogz"	"GO:0003676, GO:0003677, GO:0005634, GO:0003700, GO:0006355, GO:0003676, GO:0003677, GO:0005634, GO:0003700, GO:0006355"
"zfand3"	"GO:0003677, GO:0008270, GO:0046872, GO:0008270, GO:0046872, GO:0031018"
"pklr"	"GO:0003824, GO:0030955, GO:0000287, GO:0006096, GO:0004743, GO:0016740, GO:0016301, GO:0016310, GO:0005737, GO:0032869, GO:0001889"
"btbd9"	"GO:0005515, GO:0007420, GO:0008344, GO:0048512"
"gcsh"	"GO:0005960, GO:0019464, GO:0005739"
"cgn"	"GO:0016459, GO:0003774, GO:0016459, GO:0003774"
"abt1"	"GO:0003676, GO:0003723, GO:0005730, GO:0000447, GO:0000472, GO:0000480, GO:0034462"
"glo1"	"GO:0046872, GO:0004462, GO:0046872, GO:0004462"
"cdk10"	"GO:0005524, GO:0004672, GO:0006468, GO:0005634, GO:0000166, GO:0004674, GO:0004693, GO:0051726, GO:0016301, GO:0016572, GO:0022008, GO:0043524"
"atxn2l"	"GO:0010603, GO:0034063, GO:0010494, GO:0010603, GO:0034063, GO:0010494"
"bcl11b"	"GO:0003676, GO:0005634, GO:0003700, GO:0043565, GO:0045944, GO:0006355, GO:0003676, GO:0005634, GO:0003700, GO:0043565, GO:0045944, GO:0006355"
"setd3"	"GO:0018022, GO:0010452, GO:0046975, GO:0003713, GO:0005515, GO:0008168, GO:0016740, GO:0032259, GO:0005737, GO:0045944, GO:0045893, GO:0003779, GO:0016279, GO:0018026, GO:0000790, GO:0018064, GO:0042800, GO:0018021, GO:0018023, GO:0018027, GO:0030047, GO:0051568, GO:0018022, GO:0010452, GO:0046975, GO:0003713, GO:0005515, GO:0008168, GO:0016740, GO:0032259, GO:1903508, GO:0018024"
"rab13"	"GO:0005525, GO:0003924, GO:0006886, GO:0032482, GO:0005623, GO:0001525, GO:0005525, GO:0003924, GO:0006886, GO:0032482, GO:0005623"
"pcbp2"	"GO:0003723, GO:0003676"
"arfrp1"	"GO:0005525, GO:0000166, GO:0006886, GO:0005794, GO:0043001, GO:0033365"
"mbd5"	"GO:0005634, GO:0003677, GO:0003682, GO:0010369, GO:0005634, GO:0003682, GO:0010369"
"atmin"	"GO:0003676"
"prpf19"	"GO:0000974, GO:0006281, GO:0000398, GO:0061630, GO:0016567, GO:0004842, GO:0005515, GO:0071013, GO:0071006, GO:0000349, GO:0043518"
"cenpn"	"GO:0051382, GO:0007059"
"smarcd2"	"GO:0005515, GO:0043044, GO:0016514, GO:0002244, GO:0030223"
"tuft1"	"GO:0005515, GO:0005737, GO:0035556"
"safb"	"GO:0050684, GO:0006355, GO:0003676, GO:0005634, GO:0003723, GO:0043565, GO:0006357, GO:0050684, GO:0006355, GO:0005634, GO:0043565, GO:0006357"
"snx27"	"GO:0016197, GO:0032266, GO:0006886, GO:0007165, GO:0035091, GO:0005515, GO:0005769, GO:1990126, GO:0016197, GO:0032266, GO:0006886, GO:0035091, GO:0005769, GO:1990126"
"ccnk"	"GO:0005634, GO:0006357, GO:0061575, GO:0000079, GO:0045737, GO:0016538, GO:0032786, GO:0008024"
"znf830"	"GO:0005681, GO:0003676, GO:0008270, GO:0005634, GO:0005694, GO:0046872, GO:0007049, GO:0051301, GO:0007275, GO:0000278, GO:0016607, GO:0044773, GO:0033314, GO:0048478, GO:0033260"
"tpm3"	"GO:0051015, GO:0007015, GO:0005884, GO:0051015, GO:0007015, GO:0005884"
"cmc2"	"GO:0005739"
"cdyl2"	"GO:0003824, GO:0005634, GO:0003714, GO:1903507"
"ccdc85c"	"GO:0007275"
"dynlrb2"	"GO:0007018, GO:0005868, GO:0005737, GO:0005856, GO:0005874, GO:0003774, GO:0045505, GO:0030286, GO:0036157"
"bag1"	"GO:0051087"
"adk"	"GO:0016773, GO:0006166, GO:0004001, GO:0005634, GO:0005829, GO:0006167"
"tmem132a"	"GO:0016020, GO:0016021, GO:0005783, GO:0005794"
"psmc5"	"GO:0005737, GO:0030163, GO:0016787, GO:0005524, GO:0000166, GO:0050804, GO:0017025, GO:0008540, GO:0098794, GO:0036402, GO:0045899, GO:1901800, GO:0031597, GO:0031595"
"maf"	"GO:0003700, GO:0006355, GO:0005634, GO:0003677, GO:0000978, GO:0043565"
"c1orf43"	"GO:0016020, GO:0016021"
"prdm1"	"GO:0003676, GO:0005515, GO:0005634, GO:0005737, GO:0045165, GO:0003700, GO:0043565, GO:0000977, GO:0042826, GO:0031490, GO:0000122, GO:0000578, GO:0007521, GO:0010629, GO:0014032, GO:0014033, GO:0033333, GO:0035118, GO:0035138, GO:0045666, GO:0048066, GO:0048701, GO:0048702, GO:0048703, GO:0051155, GO:0060037, GO:0060351"
"gabra6"	"GO:0004890, GO:0034220, GO:0005216, GO:0004888, GO:0006811, GO:0005230, GO:0016020, GO:0016021, GO:0005887, GO:0005886, GO:0043005, GO:0007165, GO:0007268, GO:0042391, GO:0050877, GO:0045202, GO:1902711, GO:0005254, GO:1902476, GO:0098794, GO:0032590, GO:0007214, GO:0008503, GO:0005237, GO:0022851, GO:1904315, GO:0051932, GO:0060078"
"hhipl1"	"GO:0005044, GO:0003824, GO:0016020, GO:0016021, GO:0006898"
"pga4"	"GO:0006508, GO:0004190, GO:0016787, GO:0008233, GO:0030163"
"atg5"	"GO:0006914, GO:0005737, GO:0016020, GO:0000045, GO:0000422, GO:0019776, GO:0006501, GO:0006995, GO:0007399, GO:0007507, GO:0043416, GO:0034045, GO:0034274, GO:0006914, GO:0005737, GO:0016020, GO:0000045, GO:0000422, GO:0019776, GO:0006501, GO:0006995, GO:0034045, GO:0034274"
"asap1"	"GO:0043547, GO:0005096, GO:0005515, GO:0046872, GO:0060271, GO:0031253, GO:1903527, GO:0071803, GO:0002102"
"mgc108077"	"GO:0006707, GO:0033781, GO:0016705, GO:0005506, GO:0055114, GO:0020037, GO:0016020, GO:0016021, GO:0046872, GO:0016491, GO:0004497, GO:0016705, GO:0005506, GO:0055114, GO:0020037, GO:0016020, GO:0016021, GO:0046872, GO:0016491, GO:0004497, GO:0033781, GO:0006707, GO:0006707, GO:0033781, GO:0016705, GO:0005506, GO:0055114, GO:0020037, GO:0016020, GO:0016021, GO:0046872, GO:0016491, GO:0004497, GO:0006707, GO:0033781, GO:0016705, GO:0005506, GO:0055114, GO:0020037, GO:0016020, GO:0016021, GO:0046872, GO:0016491, GO:0004497"
"ubap2l"	"GO:0005515, GO:0005634, GO:0005737, GO:0061484, GO:0005634, GO:0005737, GO:0061484"
"dupd1"	"GO:0016791, GO:0006470, GO:0016311, GO:0008138"
"scn4a"	"GO:0001518, GO:0005248, GO:0055085, GO:0005216, GO:0006811, GO:0006814, GO:0016020, GO:0005515, GO:0016021, GO:0005886, GO:0005244, GO:0034765, GO:0030424, GO:0035725, GO:0005272, GO:0019228, GO:0086010"
"crybg1"	""
"tpsab1"	"GO:0006508, GO:0004252, GO:0005615"
"ptp4a2"	"GO:0004725, GO:0006470, GO:0005634, GO:0005737, GO:0016311, GO:0035335, GO:0016791"
"rtn4ip1"	"GO:0016491, GO:0055114, GO:0005739, GO:0008270"
